Neighborhood,Reference,Distance
random,training,2.941630734904183
random,training,2.941630734904183
random,training,2.983365645532185
random,training,2.930478751972483
random,training,2.9305864081480713
random,training,3.0457965831893343
random,training,2.9951047548276484
random,training,3.023526422709968
random,training,3.0083444330682068
random,training,3.0917283117041587
random,training,3.080449216219863
random,training,3.0437801578553745
random,training,3.1112944106551597
random,training,3.0654633737736234
random,training,3.056378752590875
random,training,3.0810626335333535
random,training,3.0648820303837097
random,training,3.0418689912796366
random,training,3.046339305395763
random,training,3.1140341254538684
random,training,3.120814524197616
random,training,3.1623222833792735
random,training,3.1226623131462627
random,training,3.121632878693872
random,training,3.1788322957062847
random,training,3.0923016403598718
random,training,3.1319012413810494
random,training,3.137255534509755
random,training,3.1169991812478175
random,training,3.0505328520321338
random,training,3.0160687770687478
random,training,2.9342133295240806
random,training,2.8850421751970314
random,training,2.911605288964597
random,training,2.95573517170572
random,training,2.977650207695802
random,training,3.074500110530087
random,training,3.106355461539599
random,training,3.1317925465126923
random,training,3.0980719664159917
random,training,3.1234534298361383
random,training,3.1048348166280544
random,training,3.105516391541428
random,training,3.0865197049882824
random,training,3.0475013833883486
random,training,2.9997236792457294
random,training,3.009521108455861
random,training,3.019988265071128
random,training,3.0232001363543652
random,training,3.028043531257137
random,training,3.039674757839452
random,training,3.0459224773330673
random,training,3.05221745866742
random,training,2.992195194019848
random,training,3.039158069480889
random,training,3.0515672840469636
random,training,3.011219272944075
random,training,3.0737221456927895
random,training,3.0905723945318213
random,training,3.0898787715449045
random,training,3.101755442539142
random,training,3.029700129796796
random,training,3.0041630778940656
random,training,3.049833132105838
random,training,3.0362782936076984
random,training,3.030615973721065
random,training,3.1229777323502383
random,training,3.1481734240175934
random,training,3.20411741889993
random,training,3.174522247144781
random,training,3.1875543758395937
random,training,3.1857214746592355
random,training,3.20011677862622
random,training,3.1219387840288384
random,training,3.085401227848318
random,training,3.065271682776053
random,training,3.0717657004563796
random,training,3.1374150814446606
random,training,3.048726228834265
random,training,3.126098153663437
random,training,3.1602308530195535
random,training,3.201665560294971
random,training,3.2037943686049415
random,training,3.150891252892088
random,training,3.204604740944239
random,training,3.2260536133026245
random,training,3.160770241266415
random,training,3.1228887542893835
