,SpeedMinimum,SpeedQ1,SpeedMedian,SpeedQ3,DistanceStartShapeCurvature,DistStartTrendAngle,DistStartTrendDevAmplitude,MaxDistPort,MinDistPort
1529,1.59,2.28,2.46,2.63,1.0,0.04,0.26,40.78,35.6
84,1.93,3.91,4.07,4.22,1.32,-0.06,8.42,41.17,37.06
2925,0.03,0.09,0.11,0.14,51.27,0.0,0.0,0.39,0.38
1087,11.87,16.01,16.53,17.66,1.0,0.28,0.02,10.4,5.16
4956,3.94,4.68,5.33,6.08,1.83,0.03,8.56,52.29,44.29
218,12.4,14.04,14.23,14.57,1.0,0.25,1.24,26.85,16.3
2060,0.01,0.07,0.09,0.11,1.02,0.0,15.65,12.57,0.13
3276,13.65,14.22,14.38,14.71,1.0,0.25,0.17,16.67,13.57
2089,0.01,13.63,14.05,14.57,1.0,0.23,11.77,23.0,0.03
2210,1.16,3.72,4.25,5.0,1.89,0.02,2.85,23.46,18.97
5519,9.64,10.09,10.7,11.84,1.0,0.18,3.85,31.78,10.16
1390,0.36,0.89,1.67,1.94,1.01,0.03,1.15,43.3,36.99
4834,9.76,14.06,15.33,15.9,1.0,0.25,0.49,44.59,28.88
4140,8.54,14.01,14.54,15.44,1.0,0.25,0.29,59.93,29.78
6049,1.58,6.11,6.4,7.09,2.86,0.02,6.33,36.26,28.39
4880,10.86,17.45,18.18,19.43,1.0,0.29,10.39,27.04,17.44
763,0.01,0.03,0.04,0.05,22.77,0.0,0.0,0.36,0.36
2266,2.41,4.14,4.35,4.71,1.67,-0.06,11.09,24.94,21.84
3668,0.92,1.32,1.52,1.77,1.24,0.02,0.58,200.56,200.03
3058,2.09,15.47,16.05,16.53,1.0,0.28,10.76,34.0,23.26
325,14.04,17.17,17.34,17.68,1.0,0.3,0.28,28.79,16.88
1933,3.06,3.6,3.89,4.32,1.34,0.06,2.99,79.89,71.22
4302,0.06,0.16,0.3,0.45,6.44,0.0,0.11,0.41,0.27
1692,1.38,2.51,2.8,3.39,1.0,0.05,0.81,21.33,17.94
2842,11.4,15.84,16.15,16.61,1.0,0.28,2.31,30.01,21.98
3822,9.27,16.3,16.51,16.82,1.0,0.28,3.46,41.51,18.23
1013,0.0,0.09,0.12,0.16,25.67,0.0,0.01,0.38,0.37
5248,0.12,13.41,14.24,15.37,1.04,0.2,13.42,16.18,2.5
3844,2.08,5.23,5.38,6.9,1.0,0.1,4.28,56.31,47.67
5006,9.17,16.06,16.71,17.66,1.0,0.29,1.07,47.49,9.65
3871,8.76,15.33,15.57,15.97,1.0,0.27,1.75,41.44,20.86
3652,0.0,0.06,0.07,0.1,15.03,0.0,0.01,0.33,0.32
428,0.02,0.06,0.1,15.93,1.01,0.04,7.52,9.28,0.0
891,0.01,0.1,0.12,0.15,33.13,0.0,0.01,0.32,0.31
4121,0.0,0.01,0.02,0.04,6.48,0.0,0.0,0.36,0.36
3010,0.02,0.1,0.13,0.2,24.67,0.0,0.01,0.4,0.38
727,0.01,0.03,0.04,0.05,28.61,0.0,0.0,0.36,0.35
4521,0.55,1.04,2.51,18.11,1.17,0.02,3.94,28.51,24.26
3319,2.97,4.74,4.94,5.1,1.14,0.07,4.68,58.43,49.79
3353,1.23,2.36,2.87,15.17,1.11,0.05,7.95,29.37,15.87
4543,1.71,2.18,2.28,2.43,1.0,0.04,0.29,9.03,7.28
3501,0.64,2.11,3.19,6.07,1.64,0.01,5.9,22.02,19.01
4504,3.45,15.05,15.54,16.17,1.0,0.27,14.0,19.19,0.26
5523,7.29,10.81,12.16,12.59,1.0,0.13,12.39,31.38,4.95
2832,11.14,13.07,14.03,15.07,1.0,0.24,4.54,34.93,14.4
4442,8.37,12.65,13.27,13.69,1.0,0.22,1.54,28.39,0.5
3974,3.52,7.36,13.35,16.13,1.62,0.1,13.17,18.13,4.58
242,0.11,0.19,0.22,0.25,73.53,0.0,0.01,0.34,0.33
1507,0.9,5.59,5.89,6.07,1.71,0.07,6.89,32.6,30.23
3688,2.96,5.0,5.7,6.5,1.4,0.04,1.63,59.66,55.55
5784,3.56,5.9,6.27,6.56,1.0,0.1,0.07,19.39,16.12
