Neighborhood,Reference,Distance
random,training,36.57670256847293
random,training,36.57670256847293
random,training,48.57625065132495
random,training,72.57056090479274
random,training,89.95585591645943
random,training,86.1463945127476
random,training,85.5175273619799
random,training,91.77148283250688
random,training,90.65350189993276
random,training,94.4986394464209
random,training,99.30280040194421
random,training,102.68305659613803
random,training,106.57833634821644
random,training,107.9305372669604
random,training,106.60037013562973
random,training,111.61626539457484
random,training,114.20373327390722
random,training,118.07495039575763
random,training,114.05470745207323
random,training,110.151275020415
random,training,110.30748999836901
random,training,114.53069944377954
random,training,113.7226867770602
random,training,119.95428734205743
random,training,122.91596775483349
random,training,123.06931479081122
random,training,119.3124612880921
random,training,122.1808473766985
random,training,120.23239287592396
random,training,121.7520660491009
random,training,121.15578900438022
random,training,121.13862967316847
random,training,121.05132884192011
random,training,120.46985417694322
random,training,124.00583752279525
random,training,126.8067928921004
random,training,122.2003694059926
random,training,126.16457019622293
random,training,130.77308789212492
random,training,128.02952483737673
random,training,130.57862788031002
random,training,125.35550545036129
random,training,117.90973071672646
random,training,120.43839132238995
random,training,127.00030826830618
random,training,122.60061011350716
random,training,122.05638800678848
random,training,124.9750261400242
random,training,124.53380140783243
random,training,124.32120255409096
random,training,126.42257468152614
random,training,126.80780490840861
random,training,124.14884286557077
random,training,120.16642991784249
random,training,122.21100003348603
random,training,122.60601526386979
random,training,119.09238396225744
random,training,118.09784802555897
random,training,111.93667819360864
random,training,117.44005429483892
random,training,120.35017106730875
random,training,123.8979817942915
random,training,125.90418392184483
random,training,122.72440895085711
random,training,123.54185710460266
random,training,126.11151898039812
random,training,126.67386214280677
random,training,122.08428810172305
random,training,119.89182424923428
random,training,117.51732463151218
random,training,122.49140222729646
random,training,119.60458755889282
random,training,116.8373862644842
random,training,123.52562515999695
random,training,121.94572533213551
random,training,122.63232180879932
random,training,121.04820147596246
random,training,117.51252915092607
random,training,121.61517336168188
random,training,117.31576540785616
random,training,113.01041385703932
random,training,109.73349252309377
random,training,112.95682139024295
random,training,113.63297819079307
random,training,102.11273873929254
random,training,105.38583772383551
random,training,105.66699534908605
random,training,106.88287144896762
random,training,106.35280620549528
random,training,111.77084488653807
random,training,110.28356480567105
random,training,110.4585041464161
random,training,109.51303856114873
random,training,111.24253360661955
random,training,112.12536459322354
random,training,114.93556885160515
random,training,118.231147833904
random,training,118.39185668870812
random,training,111.76464711976364
random,training,117.25152150510718
random,training,115.37699659666396
random,training,117.37126717734157
random,training,115.94269777507698
random,training,115.26878848533833
random,training,119.19763346111411
random,training,119.52353883501333
random,training,125.17152499461682
random,training,119.65620969206145
random,training,115.53641250013679
random,training,110.37825396816801
random,training,116.76442778509985
random,training,116.13758336367441
random,training,117.75487812944526
random,training,116.11295424161771
random,training,114.64601541196947
random,training,118.74299161170475
random,training,112.79479270937394
random,training,118.0238363476574
random,training,117.75914927463212
random,training,113.80800244783217
random,training,113.8289631323044
random,training,118.77736461912399
random,training,112.54863814789388
random,training,113.73387127241597
random,training,117.09199614793033
random,training,120.15781592679996
random,training,117.45878028444864
random,training,121.06687343629078
random,training,118.17175518885338
random,training,118.71025944701412
random,training,117.04698398323809
random,training,114.94277264984588
random,training,112.32278776971684
random,training,111.97487092023584
random,training,113.25371946905948
random,training,112.41238210912779
random,training,112.70199975009365
random,training,116.32398180800101
random,training,126.95114295756622
random,training,120.69694749818123
random,training,119.42155452512453
random,training,122.77895015560152
random,training,123.2838252557362
random,training,118.8644817739923
random,training,126.25567721283318
random,training,125.48570960589619
random,training,126.65617905706506
random,training,121.23439179025067
random,training,122.87769472039727
random,training,120.27320487099462
random,training,121.72394825281688
random,training,119.63270757755117
random,training,114.174319465092
random,training,112.52706025226287
random,training,116.03632756340556
random,training,115.05256806518516
random,training,111.82102590674187
random,training,109.67910585734857
random,training,108.885954569609
random,training,107.8794293533531
random,training,116.94752158375512
random,training,115.3236531212279
random,training,112.69583433696909
random,training,110.39124423558874
random,training,110.77182217450469
random,training,108.95370081628153
random,training,113.81968456045894
random,training,114.67226404636584
random,training,115.44920271757759
random,training,113.89080581746626
random,training,110.19714780002916
